#detid      cr   sl   tb   dcc  sp htr_fib fib_ch   det    eta  phi   depth
 54000080  28   03   u    0       0          0              0 ZDC_RPD    -1     0    -99
 54000081  28   03   u    0       0          0              1 ZDC_RPD    -1     1    -99
 54000082  28   03   u    0       0          0              2 ZDC_RPD    -1     2    -99
 54000083  28   03   u    0       0          0              3 ZDC_RPD    -1     3    -99
 54000084  28   03   u    0       0          1              0 ZDC_RPD    -1     4    -99
 54000085  28   03   u    0       0          1              1 ZDC_RPD    -1     5    -99
 54000086  28   03   u    0       0          1              2 ZDC_RPD    -1     6    -99
 54000087  28   03   u    0       0          1              3 ZDC_RPD    -1     7    -99
 54000088  28   03   u    0       0          2              0 ZDC_RPD    -1     8    -99
 54000089  28   03   u    0       0          2              1 ZDC_RPD    -1     9    -99
 5400008A  28   03   u    0       0          2              2 ZDC_RPD    -1    10    -99
 5400008B  28   03   u    0       0          2              3 ZDC_RPD    -1    11    -99
 5400008C  28   03   u    0       0          3              0 ZDC_RPD    -1    12    -99
 5400008D  28   03   u    0       0          3              1 ZDC_RPD    -1    13    -99
 5400008E  28   03   u    0       0          3              2 ZDC_RPD    -1    14    -99
 5400008F  28   03   u    0       0          3              3 ZDC_RPD    -1    15    -99
 54000010  28   03   u    0       0          4              0  ZDC_EM    -1     1    -99
 54000011  28   03   u    0       0          4              1  ZDC_EM    -1     2    -99
 54000012  28   03   u    0       0          4              2  ZDC_EM    -1     3    -99
 54000013  28   03   u    0       0          4              3  ZDC_EM    -1     4    -99
 54000014  28   03   u    0       0          5              0  ZDC_EM    -1     5    -99
 54000015  28   03   u    0       0          5              1  ZDC_EM    -1     6    -99
 54000016  28   03   u    0       0          5              2  ZDC_EM    -1     7    -99
 54000017  28   03   u    0       0          5              3  ZDC_EM    -1     8    -99
 54000018  28   03   u    0       0          6              0  ZDC_EM    -1     9    -99
 54000019  28   03   u    0       0          6              1  ZDC_EM    -1    10   -99
 5400001A  28   03   u    0       0          6              2  ZDC_EM    -1    11    -99
 5400001B  28   03   u    0       0          6              3  ZDC_EM    -1    12    -99
 5400001C  28   03   u    0       0          7              0  ZDC_EM    -1    13    -99
 5400001D  28   03   u    0       0          7              1  ZDC_EM    -1    14    -99
 5400001E  28   03   u    0       0          7              2  ZDC_EM    -1    15    -99
 5400001F  28   03   u    0       0          7              3  ZDC_EM    -1    16    -99
 54000020  28   03   u    0       0          8              0 ZDC_HAD    -1     0    -99
 54000021  28   03   u    0       0          8              1 ZDC_HAD    -1     1    -99
 54000022  28   03   u    0       0          8              2 ZDC_HAD    -1     2    -99
 54000023  28   03   u    0       0          8              3 ZDC_HAD    -1     3    -99
 54000024  28   03   u    0       0          9              0 ZDC_HAD    -1     4    -99
 54000025  28   03   u    0       0          9              1 ZDC_HAD    -1     5    -99
 54000026  28   03   u    0       0          9              2 ZDC_HAD    -1     6    -99
 54000027  28   03   u    0       0          9              3 ZDC_HAD    -1     7    -99
 54000028  28   03   u    0       0         10              0 ZDC_HAD    -1     8    -99
 54000029  28   03   u    0       0         10              1 ZDC_HAD    -1     9    -99
 5400002A  28   03   u    0       0         10              2 ZDC_HAD    -1    10    -99
 5400002B  28   03   u    0       0         10              3 ZDC_HAD    -1    11    -99
 5400002C  28   03   u    0       0         11              0 ZDC_HAD    -1    12    -99
 5400002D  28   03   u    0       0         11              1 ZDC_HAD    -1    13    -99
 5400002E  28   03   u    0       0         11              2 ZDC_HAD    -1    14    -99
 5400002F  28   03   u    0       0         11              3 ZDC_HAD    -1    15    -99
 540000C0  28   03   u    0       0         12              0 ZDC_RPD     1     0    -99
 540000C1  28   03   u    0       0         12              1 ZDC_RPD     1     1    -99
 540000C2  28   03   u    0       0         12              2 ZDC_RPD     1     2    -99
 540000C3  28   03   u    0       0         12              3 ZDC_RPD     1     3    -99
 540000C4  28   03   u    0       0         13              0 ZDC_RPD     1     4    -99
 540000C5  28   03   u    0       0         13              1 ZDC_RPD     1     5    -99
 540000C6  28   03   u    0       0         13              2 ZDC_RPD     1     6    -99
 540000C7  28   03   u    0       0         13              3 ZDC_RPD     1     7    -99
 540000C8  28   03   u    0       0         14              0 ZDC_RPD     1     8    -99
 540000C9  28   03   u    0       0         14              1 ZDC_RPD     1     9    -99
 540000CA  28   03   u    0       0         14              2 ZDC_RPD     1    10    -99
 540000CB  28   03   u    0       0         14              3 ZDC_RPD     1    11    -99
 540000CC  28   03   u    0       0         15              0 ZDC_RPD     1    12    -99
 540000CD  28   03   u    0       0         15              1 ZDC_RPD     1    13    -99
 540000CE  28   03   u    0       0         15              2 ZDC_RPD     1    14    -99
 540000CF  28   03   u    0       0         15              3 ZDC_RPD     1    15    -99
 54000050  28   03   u    0       0         16              0  ZDC_EM     1     1    -99
 54000051  28   03   u    0       0         16              1  ZDC_EM     1     2    -99
 54000052  28   03   u    0       0         16              2  ZDC_EM     1     3    -99
 54000053  28   03   u    0       0         16              3  ZDC_EM     1     4    -99
 54000054  28   03   u    0       0         17              0  ZDC_EM     1     5    -99
 54000055  28   03   u    0       0         17              1  ZDC_EM     1     6    -99
 54000056  28   03   u    0       0         17              2  ZDC_EM     1     7    -99
 54000057  28   03   u    0       0         17              3  ZDC_EM     1     8    -99
 54000058  28   03   u    0       0         18              0  ZDC_EM     1     9    -99
 54000059  28   03   u    0       0         18              1  ZDC_EM     1    10    -99
 5400005A  28   03   u    0       0         18              2  ZDC_EM     1    11    -99
 5400005B  28   03   u    0       0         18              3  ZDC_EM     1    12    -99
 5400005C  28   03   u    0       0         19              0  ZDC_EM     1    13    -99
 5400005D  28   03   u    0       0         19              1  ZDC_EM     1    14    -99
 5400005E  28   03   u    0       0         19              2  ZDC_EM     1    15    -99
 5400005F  28   03   u    0       0         19              3  ZDC_EM     1    16    -99
 54000060  28   03   u    0       0         20              0 ZDC_HAD     1     0    -99
 54000061  28   03   u    0       0         20              1 ZDC_HAD     1     1    -99
 54000062  28   03   u    0       0         20              2 ZDC_HAD     1     2    -99
 54000063  28   03   u    0       0         20              3 ZDC_HAD     1     3    -99
 54000064  28   03   u    0       0         21              0 ZDC_HAD     1     4    -99
 54000065  28   03   u    0       0         21              1 ZDC_HAD     1     5    -99
 54000066  28   03   u    0       0         21              2 ZDC_HAD     1     6    -99
 54000067  28   03   u    0       0         21              3 ZDC_HAD     1     7    -99
 54000068  28   03   u    0       0         22              0 ZDC_HAD     1     8    -99
 54000069  28   03   u    0       0         22              1 ZDC_HAD     1     9    -99
 5400006A  28   03   u    0       0         22              2 ZDC_HAD     1    10    -99
 5400006B  28   03   u    0       0         22              3 ZDC_HAD     1    11    -99
 5400006C  28   03   u    0       0         23              0 ZDC_HAD     1    12    -99
 5400006D  28   03   u    0       0         23              1 ZDC_HAD     1    13    -99
 5400006E  28   03   u    0       0         23              2 ZDC_HAD     1    14    -99
 5400006F  28   03   u    0       0         23              3 ZDC_HAD     1    15    -99
