#detid      cr   sl   tb   dcc  sp htr_fib fib_ch   det    eta  phi   depth
 54000080  28   03   u    0       0          2              0 ZDC_RPD    -1     1    -99
 54000081  28   03   u    0       0          2              1 ZDC_RPD    -1     2    -99
 54000082  28   03   u    0       0          2              2 ZDC_RPD    -1     3    -99
 54000083  28   03   u    0       0          2              3 ZDC_RPD    -1     4    -99
 54000084  28   03   u    0       0          3              0 ZDC_RPD    -1     5    -99
 54000085  28   03   u    0       0          3              1 ZDC_RPD    -1     6    -99
 54000086  28   03   u    0       0          3              2 ZDC_RPD    -1     7    -99
 54000087  28   03   u    0       0          3              3 ZDC_RPD    -1     8    -99
 54000088  28   03   u    0       0          4              0 ZDC_RPD    -1     9    -99
 54000089  28   03   u    0       0          4              1 ZDC_RPD    -1    10    -99
 5400008A  28   03   u    0       0          4              2 ZDC_RPD    -1    11    -99
 5400008B  28   03   u    0       0          4              3 ZDC_RPD    -1    12    -99
 5400008C  28   03   u    0       0          5              0 ZDC_RPD    -1    13    -99
 5400008D  28   03   u    0       0          5              1 ZDC_RPD    -1    14    -99
 5400008E  28   03   u    0       0          5              2 ZDC_RPD    -1    15    -99
 5400008F  28   03   u    0       0          5              3 ZDC_RPD    -1    16    -99
 54000011  28   03   u    0       0          6              0  ZDC_EM    -1     1    -99
 54000012  28   03   u    0       0          6              1  ZDC_EM    -1     2    -99
 54000013  28   03   u    0       0          6              2  ZDC_EM    -1     3    -99
 54000014  28   03   u    0       0          6              3  ZDC_EM    -1     4    -99
 54000015  28   03   u    0       0          7              0  ZDC_EM    -1     5    -99
 54000021  28   03   u    0       0          7              1 ZDC_HAD    -1     1    -99
 54000022  28   03   u    0       0          7              2 ZDC_HAD    -1     2    -99
 54000023  28   03   u    0       0          7              3 ZDC_HAD    -1     3    -99
 54000024  28   03   u    0       0          8              0 ZDC_HAD    -1     4    -99
